Timestamp,User,Action,Record Type Name,Record Type URL Stub,Record Identifier,View,Filters,Environment,Site URL Stub
13 Dec 2017 08:02:47 GMT,_h-0000dfe3-cd2d-8000-9aee-01075c01075c_70,View Record List,Incident,B_qSSQ,N/A,N/A,N/A,Site,incident-detail
13 Dec 2017 08:02:55 GMT,_h-0000dfe3-cd2d-8000-9aee-01075c01075c_70,View Record Dashboard,Incident,B_qSSQ,679,summary,N/A,Site,incident-detail
13 Dec 2017 08:04:44 GMT,_h-0000dfe3-cd2d-8000-9aee-01075c01075c_70,View Record Dashboard,Incident,B_qSSQ,679,summary,N/A,Site,incident-detail
13 Dec 2017 09:13:07 GMT,_h-0000dfcc-1b5f-8000-9aee-01075c01075c_3,View Record List,User,U1TzGg,N/A,N/A,"(active = ""1"")",Site,company-site
13 Dec 2017 09:13:19 GMT,_h-0000dfcc-1b5f-8000-9aee-01075c01075c_3,View Record Dashboard,User,U1TzGg,_h-0000dfe3-cd2d-8000-9aee-01075c01075c_62,summary,N/A,Site,company-site
13 Dec 2017 09:13:25 GMT,_h-0000dfcc-1b5f-8000-9aee-01075c01075c_3,View Related Action List,User,U1TzGg,_h-0000dfe3-cd2d-8000-9aee-01075c01075c_62,N/A,N/A,Site,company-site
13 Dec 2017 09:13:28 GMT,_h-0000dfcc-1b5f-8000-9aee-01075c01075c_3,View Related Action List,User,U1TzGg,_h-0000dfe3-cd2d-8000-9aee-01075c01075c_62,N/A,N/A,Site,company-site
13 Dec 2017 09:13:37 GMT,_h-0000dfcc-1b5f-8000-9aee-01075c01075c_3,View Related Action List,User,U1TzGg,_h-0000dfe3-cd2d-8000-9aee-01075c01075c_62,N/A,N/A,Site,company-site
13 Dec 2017 09:13:41 GMT,_h-0000dfcc-1b5f-8000-9aee-01075c01075c_3,View Record List,User,U1TzGg,N/A,N/A,"(active = ""1"")",Site,company-site
13 Dec 2017 09:13:47 GMT,_h-0000dfcc-1b5f-8000-9aee-01075c01075c_3,View Record Dashboard,User,U1TzGg,_h-0000dfe3-cd2d-8000-9aee-01075c01075c_63,summary,N/A,Site,company-site
13 Dec 2017 09:13:50 GMT,_h-0000dfcc-1b5f-8000-9aee-01075c01075c_3,View Related Action List,User,U1TzGg,_h-0000dfe3-cd2d-8000-9aee-01075c01075c_63,N/A,N/A,Site,company-site
13 Dec 2017 09:13:54 GMT,_h-0000dfcc-1b5f-8000-9aee-01075c01075c_3,View Related Action List,User,U1TzGg,_h-0000dfe3-cd2d-8000-9aee-01075c01075c_63,N/A,N/A,Site,company-site
13 Dec 2017 09:14:02 GMT,_h-0000dfcc-1b5f-8000-9aee-01075c01075c_3,View Related Action List,User,U1TzGg,_h-0000dfe3-cd2d-8000-9aee-01075c01075c_63,N/A,N/A,Site,company-site
13 Dec 2017 09:14:05 GMT,_h-0000dfcc-1b5f-8000-9aee-01075c01075c_3,View Record List,User,U1TzGg,N/A,N/A,"(active = ""1"")",Site,company-site
13 Dec 2017 09:14:21 GMT,_h-0000dfcc-1b5f-8000-9aee-01075c01075c_3,View Record Dashboard,User,U1TzGg,_h-0000dfe3-cd2d-8000-9aee-01075c01075c_69,summary,N/A,Site,company-site
13 Dec 2017 09:14:25 GMT,_h-0000dfcc-1b5f-8000-9aee-01075c01075c_3,View Related Action List,User,U1TzGg,_h-0000dfe3-cd2d-8000-9aee-01075c01075c_69,N/A,N/A,Site,company-site
13 Dec 2017 09:14:29 GMT,_h-0000dfcc-1b5f-8000-9aee-01075c01075c_3,View Related Action List,User,U1TzGg,_h-0000dfe3-cd2d-8000-9aee-01075c01075c_69,N/A,N/A,Site,company-site
13 Dec 2017 09:14:54 GMT,_h-0000dfcc-1b5f-8000-9aee-01075c01075c_3,View Related Action List,User,U1TzGg,_h-0000dfe3-cd2d-8000-9aee-01075c01075c_69,N/A,N/A,Site,company-site
13 Dec 2017 09:14:59 GMT,_h-0000dfcc-1b5f-8000-9aee-01075c01075c_3,View Record List,User,U1TzGg,N/A,N/A,"(active = ""1"")",Site,company-site
