Timestamp,User,Action,Site,Page
23 Dec 2017 12:29:53 GMT,_h-0000dfe3-cd2d-8000-9aee-01075c01075c_102,View Site Record List,incident-detail,incident
23 Dec 2017 12:29:57 GMT,_h-0000dfe3-cd2d-8000-9aee-01075c01075c_102,View Site Record List,incident-detail,incident
23 Dec 2017 12:30:08 GMT,_h-0000dfe3-cd2d-8000-9aee-01075c01075c_102,View Site Record List,incident-detail,incident
23 Dec 2017 12:30:16 GMT,_h-0000dfe3-cd2d-8000-9aee-01075c01075c_102,View Site Record List,incident-detail,incident
23 Dec 2017 12:30:27 GMT,_h-0000dfe3-cd2d-8000-9aee-01075c01075c_102,View Site Record List,incident-detail,incident
23 Dec 2017 12:30:48 GMT,_h-0000dfe3-cd2d-8000-9aee-01075c01075c_102,View Site Record List,incident-detail,incident
23 Dec 2017 12:30:57 GMT,_h-0000dfe3-cd2d-8000-9aee-01075c01075c_102,View Site Record List,incident-detail,incident
23 Dec 2017 12:31:01 GMT,_h-0000dfe3-cd2d-8000-9aee-01075c01075c_102,View Site Record List,incident-detail,incident
23 Dec 2017 12:31:03 GMT,_h-0000dfe3-cd2d-8000-9aee-01075c01075c_102,View Site Record List,incident-detail,incident
23 Dec 2017 12:31:03 GMT,_h-0000dfe3-cd2d-8000-9aee-01075c01075c_102,View Site Record List,incident-detail,incident
23 Dec 2017 12:31:03 GMT,_h-0000dfe3-cd2d-8000-9aee-01075c01075c_102,View Site Record List,incident-detail,incident
23 Dec 2017 12:31:03 GMT,_h-0000dfe3-cd2d-8000-9aee-01075c01075c_102,View Site Record List,incident-detail,incident
23 Dec 2017 12:31:10 GMT,_h-0000dfe3-cd2d-8000-9aee-01075c01075c_102,View Site Record List,incident-detail,incident
23 Dec 2017 13:02:23 GMT,_h-0000dfcc-1b5f-8000-9aee-01075c01075c_6,View Site Report,incident-detail,my-task-report
23 Dec 2017 13:02:30 GMT,_h-0000dfcc-1b5f-8000-9aee-01075c01075c_6,View Site Action Start Form,incident-detail,Action
23 Dec 2017 13:02:34 GMT,_h-0000dfcc-1b5f-8000-9aee-01075c01075c_6,View Site Record List,incident-detail,project
23 Dec 2017 13:02:42 GMT,_h-0000dfcc-1b5f-8000-9aee-01075c01075c_6,View Site Record List,company-site,company
23 Dec 2017 13:02:46 GMT,_h-0000dfcc-1b5f-8000-9aee-01075c01075c_6,View Site Action Start Form,company-site,actions
23 Dec 2017 13:02:50 GMT,_h-0000dfcc-1b5f-8000-9aee-01075c01075c_6,Submit Site Action Start Form,company-site,actions
23 Dec 2017 13:05:37 GMT,_h-0000dfcc-1b5f-8000-9aee-01075c01075c_6,View Site Record List,company-site,users
23 Dec 2017 13:18:01 GMT,_h-0000dfcc-1b5f-8000-9aee-01075c01075c_6,View Site Report,incident-detail,my-task-report
23 Dec 2017 13:18:23 GMT,_h-0000dfcc-1b5f-8000-9aee-01075c01075c_6,View Site Record List,incident-detail,incident
